Year,Age,Gender,Nationality,Value
2005,Total,,,143.0136139
2006,Total,,,139.03415780000003
2007,Total,,,134.12957749999998
2008,Total,,,131.2618649
2009,Total,,,130.0535714
2010,Total,,,127.19235359999999
2011,Total,,,118.35722820000001
2012,Total,,,114.95564750000001
2013,Total,,,110.52
2014,Total,,,109.696288
2015,Total,,,105.1007077
2016,Total,,,102.6128017
2017,Total,,,102.08247420000001
2005,Total,Male,,73.64480198
2006,Total,Male,,71.44287397
2007,Total,Male,,68.52957746
2008,Total,Male,,67.06309324
2009,Total,Male,,66.07738095
2010,Total,Male,,64.64157706
2011,Total,Male,,60.19713262
2012,Total,Male,,58.81726789
2013,Total,Male,,56.01142857
2014,Total,Male,,55.47806524
2015,Total,Male,,53.03756124
2016,Total,Male,,51.94648478
2017,Total,Male,,51.53608247
2005,Total,Female,,69.36881188
2006,Total,Female,,67.59128386
2007,Total,Female,,65.6
2008,Total,Female,,64.19877164
2009,Total,Female,,63.97619048
2010,Total,Female,,62.55077658
2011,Total,Female,,58.16009558
2012,Total,Female,,56.13837966
2013,Total,Female,,54.50857143
2014,Total,Female,,54.21822272
2015,Total,Female,,52.06314643
2016,Total,Female,,50.66631689
2017,Total,Female,,50.54639175
2005,5 years and younger,,Foreign,0.0
2006,5 years and younger,,Foreign,0.0
2007,5 years and younger,,Foreign,0.0
2008,5 years and younger,,Foreign,0.0
2009,5 years and younger,,Foreign,0.0
2010,5 years and younger,,Foreign,0.0
2011,5 years and younger,,Foreign,0.0
2012,5 years and younger,,Foreign,0.0
2013,5 years and younger,,Foreign,0.0
2014,5 years and younger,,Foreign,0.0
2015,5 years and younger,,Foreign,0.0
2016,5 years and younger,,Foreign,0.0
2017,5 years and younger,,Foreign,0.0
2005,5 years and younger,Male,Foreign,0.0
2006,5 years and younger,Male,Foreign,0.0
2007,5 years and younger,Male,Foreign,0.0
2008,5 years and younger,Male,Foreign,0.0
2009,5 years and younger,Male,Foreign,0.0
2010,5 years and younger,Male,Foreign,0.0
2011,5 years and younger,Male,Foreign,0.0
2012,5 years and younger,Male,Foreign,0.0
2013,5 years and younger,Male,Foreign,0.0
2014,5 years and younger,Male,Foreign,0.0
2015,5 years and younger,Male,Foreign,0.0
2016,5 years and younger,Male,Foreign,0.0
2017,5 years and younger,Male,Foreign,0.0
2005,5 years and younger,Female,Foreign,0.0
2006,5 years and younger,Female,Foreign,0.0
2007,5 years and younger,Female,Foreign,0.0
2008,5 years and younger,Female,Foreign,0.0
2009,5 years and younger,Female,Foreign,0.0
2010,5 years and younger,Female,Foreign,0.0
2011,5 years and younger,Female,Foreign,0.0
2012,5 years and younger,Female,Foreign,0.0
2013,5 years and younger,Female,Foreign,0.0
2014,5 years and younger,Female,Foreign,0.0
2015,5 years and younger,Female,Foreign,0.0
2016,5 years and younger,Female,Foreign,0.0
2017,5 years and younger,Female,Foreign,0.0
2005,6 - 12 years,,Foreign,0.074257426
2006,6 - 12 years,,Foreign,0.129564193
2007,6 - 12 years,,Foreign,0.101408451
2008,6 - 12 years,,Foreign,0.061418202000000005
2009,6 - 12 years,,Foreign,0.053571429000000004
2010,6 - 12 years,,Foreign,0.083632019
2011,6 - 12 years,,Foreign,0.065710872
2012,6 - 12 years,,Foreign,0.076877587
2013,6 - 12 years,,Foreign,0.091428571
2014,6 - 12 years,,Foreign,0.044994375999999996
2015,6 - 12 years,,Foreign,0.070767556
2016,6 - 12 years,,Foreign,0.057712487
2017,6 - 12 years,,Foreign,0.103092784
2005,6 - 12 years,Male,Foreign,0.037128713
2006,6 - 12 years,Male,Foreign,0.064782097
2007,6 - 12 years,Male,Foreign,0.056338028
2008,6 - 12 years,Male,Foreign,0.027917365
2009,6 - 12 years,Male,Foreign,0.0
2010,6 - 12 years,Male,Foreign,0.035842294
2011,6 - 12 years,Male,Foreign,0.035842294
2012,6 - 12 years,Male,Foreign,0.04730928400000001
2013,6 - 12 years,Male,Foreign,0.04571428599999999
2014,6 - 12 years,Male,Foreign,0.0
2015,6 - 12 years,Male,Foreign,0.038105607
2016,6 - 12 years,Male,Foreign,0.0
2017,6 - 12 years,Male,Foreign,0.056701031
2005,6 - 12 years,Female,Foreign,0.037128713
2006,6 - 12 years,Female,Foreign,0.064782097
2007,6 - 12 years,Female,Foreign,0.045070423
2008,6 - 12 years,Female,Foreign,0.033500838
2009,6 - 12 years,Female,Foreign,0.0
2010,6 - 12 years,Female,Foreign,0.047789725
2011,6 - 12 years,Female,Foreign,0.029868578
2012,6 - 12 years,Female,Foreign,0.029568302999999997
2013,6 - 12 years,Female,Foreign,0.04571428599999999
2014,6 - 12 years,Female,Foreign,0.0
2015,6 - 12 years,Female,Foreign,0.032661948999999996
2016,6 - 12 years,Female,Foreign,0.0
2017,6 - 12 years,Female,Foreign,0.046391753
2005,13 - 18 years,,Foreign,2.431930693
2006,13 - 18 years,,Foreign,2.832744405
2007,13 - 18 years,,Foreign,3.408450704
2008,13 - 18 years,,Foreign,3.82467895
2009,13 - 18 years,,Foreign,4.1130952380000005
2010,13 - 18 years,,Foreign,3.996415771
2011,13 - 18 years,,Foreign,4.121863799
2012,13 - 18 years,,Foreign,3.914843288
2013,13 - 18 years,,Foreign,3.8285714289999997
2014,13 - 18 years,,Foreign,4.015748031
2015,13 - 18 years,,Foreign,4.03375068
2016,13 - 18 years,,Foreign,4.123819517
2017,13 - 18 years,,Foreign,4.082474227
2005,13 - 18 years,Male,Foreign,1.169554455
2006,13 - 18 years,Male,Foreign,1.3957597169999998
2007,13 - 18 years,Male,Foreign,1.723943662
2008,13 - 18 years,Male,Foreign,1.976549414
2009,13 - 18 years,Male,Foreign,2.1488095240000002
2010,13 - 18 years,Male,Foreign,2.025089606
2011,13 - 18 years,Male,Foreign,2.025089606
2012,13 - 18 years,Male,Foreign,1.998817268
2013,13 - 18 years,Male,Foreign,1.971428571
2014,13 - 18 years,Male,Foreign,2.035995501
2015,13 - 18 years,Male,Foreign,2.008709853
2016,13 - 18 years,Male,Foreign,2.103882476
2017,13 - 18 years,Male,Foreign,2.015463918
2005,13 - 18 years,Female,Foreign,1.2623762379999999
2006,13 - 18 years,Female,Foreign,1.4369846880000001
2007,13 - 18 years,Female,Foreign,1.684507042
2008,13 - 18 years,Female,Foreign,1.848129537
2009,13 - 18 years,Female,Foreign,1.964285714
2010,13 - 18 years,Female,Foreign,1.971326165
2011,13 - 18 years,Female,Foreign,2.096774194
2012,13 - 18 years,Female,Foreign,1.91602602
2013,13 - 18 years,Female,Foreign,1.857142857
2014,13 - 18 years,Female,Foreign,1.979752531
2015,13 - 18 years,Female,Foreign,2.0250408269999998
2016,13 - 18 years,Female,Foreign,2.019937041
2017,13 - 18 years,Female,Foreign,2.067010309
2005,Total,,Foreign,2.506188119
2006,Total,,Foreign,2.962308598
2007,Total,,Foreign,3.509859155
2008,Total,,Foreign,3.886097152
2009,Total,,Foreign,4.166666667
2010,Total,,Foreign,4.08004779
2011,Total,,Foreign,4.187574671
2012,Total,,Foreign,3.991720875
2013,Total,,Foreign,3.9257142860000003
2014,Total,,Foreign,4.071991001000001
2015,Total,,Foreign,4.109961894
2016,Total,,Foreign,4.186778594
2017,Total,,Foreign,4.18556701
2005,Total,Male,Foreign,1.2066831679999999
2006,Total,Male,Foreign,1.4605418140000002
2007,Total,Male,Foreign,1.78028169
2008,Total,Male,Foreign,2.0044667780000003
2009,Total,Male,Foreign,2.18452381
2010,Total,Male,Foreign,2.0609319
2011,Total,Male,Foreign,2.0609319
2012,Total,Male,Foreign,2.046126552
2013,Total,Male,Foreign,2.022857143
2014,Total,Male,Foreign,2.069741282
2015,Total,Male,Foreign,2.04681546
2016,Total,Male,Foreign,2.145855194
2017,Total,Male,Foreign,2.072164948
2005,Total,Female,Foreign,1.29950495
2006,Total,Female,Foreign,1.501766784
2007,Total,Female,Foreign,1.729577465
2008,Total,Female,Foreign,1.881630374
2009,Total,Female,Foreign,1.982142857
2010,Total,Female,Foreign,2.01911589
2011,Total,Female,Foreign,2.126642772
2012,Total,Female,Foreign,1.9455943230000001
2013,Total,Female,Foreign,1.902857143
2014,Total,Female,Foreign,2.002249719
2015,Total,Female,Foreign,2.063146434
2016,Total,Female,Foreign,2.0409234
2017,Total,Female,Foreign,2.113402062
2005,5 years and younger,,Icelandic,0.253712871
2006,5 years and younger,,Icelandic,0.200235571
2007,5 years and younger,,Icelandic,0.230985915
2008,5 years and younger,,Icelandic,0.206588498
2009,5 years and younger,,Icelandic,0.202380952
2010,5 years and younger,,Icelandic,0.27479092
2011,5 years and younger,,Icelandic,0.27479092
2012,5 years and younger,,Icelandic,0.295683028
2013,5 years and younger,,Icelandic,0.262857143
2014,5 years and younger,,Icelandic,0.264341957
2015,5 years and younger,,Icelandic,0.20685900899999998
2016,5 years and younger,,Icelandic,0.18887723
2017,5 years and younger,,Icelandic,0.190721649
2005,5 years and younger,Male,Icelandic,0.10519802
2006,5 years and younger,Male,Icelandic,0.08833922300000001
2007,5 years and younger,Male,Icelandic,0.123943662
2008,5 years and younger,Male,Icelandic,0.106085985
2009,5 years and younger,Male,Icelandic,0.05952381
2010,5 years and younger,Male,Icelandic,0.12544802900000002
2011,5 years and younger,Male,Icelandic,0.131421744
2012,5 years and younger,Male,Icelandic,0.147841514
2013,5 years and younger,Male,Icelandic,0.125714286
2014,5 years and younger,Male,Icelandic,0.13498312699999998
2015,5 years and younger,Male,Icelandic,0.08709853
2016,5 years and younger,Male,Icelandic,0.089192025
2017,5 years and younger,Male,Icelandic,0.082474227
2005,5 years and younger,Female,Icelandic,0.148514851
2006,5 years and younger,Female,Icelandic,0.111896349
2007,5 years and younger,Female,Icelandic,0.107042254
2008,5 years and younger,Female,Icelandic,0.100502513
2009,5 years and younger,Female,Icelandic,0.14285714300000002
2010,5 years and younger,Female,Icelandic,0.149342891
2011,5 years and younger,Female,Icelandic,0.143369176
2012,5 years and younger,Female,Icelandic,0.147841514
2013,5 years and younger,Female,Icelandic,0.13714285699999998
2014,5 years and younger,Female,Icelandic,0.12935883
2015,5 years and younger,Female,Icelandic,0.119760479
2016,5 years and younger,Female,Icelandic,0.099685205
2017,5 years and younger,Female,Icelandic,0.10824742300000001
2005,6 - 12 years,,Icelandic,6.448019802
2006,6 - 12 years,,Icelandic,6.107184922999999
2007,6 - 12 years,,Icelandic,5.628169014
2008,6 - 12 years,,Icelandic,4.941373533999999
2009,6 - 12 years,,Icelandic,4.244047619
2010,6 - 12 years,,Icelandic,3.6798088410000003
2011,6 - 12 years,,Icelandic,3.524492234
2012,6 - 12 years,,Icelandic,3.5481963339999996
2013,6 - 12 years,,Icelandic,3.314285714
2014,6 - 12 years,,Icelandic,3.2733408319999997
2015,6 - 12 years,,Icelandic,3.0321175830000002
2016,6 - 12 years,,Icelandic,3.268625393
2017,6 - 12 years,,Icelandic,3.262886598
2005,6 - 12 years,Male,Icelandic,3.33539604
2006,6 - 12 years,Male,Icelandic,3.2803297999999996
2007,6 - 12 years,Male,Icelandic,2.9746478869999997
2008,6 - 12 years,Male,Icelandic,2.52372976
2009,6 - 12 years,Male,Icelandic,2.1785714290000002
2010,6 - 12 years,Male,Icelandic,1.8757467140000001
2011,6 - 12 years,Male,Icelandic,1.696535245
2012,6 - 12 years,Male,Icelandic,1.815493791
2013,6 - 12 years,Male,Icelandic,1.76
2014,6 - 12 years,Male,Icelandic,1.7210348709999999
2015,6 - 12 years,Male,Icelandic,1.594991835
2016,6 - 12 years,Male,Icelandic,1.7156348369999999
2017,6 - 12 years,Male,Icelandic,1.824742268
2005,6 - 12 years,Female,Icelandic,3.1126237619999997
2006,6 - 12 years,Female,Icelandic,2.8268551239999997
2007,6 - 12 years,Female,Icelandic,2.653521127
2008,6 - 12 years,Female,Icelandic,2.417643774
2009,6 - 12 years,Female,Icelandic,2.06547619
2010,6 - 12 years,Female,Icelandic,1.804062127
2011,6 - 12 years,Female,Icelandic,1.827956989
2012,6 - 12 years,Female,Icelandic,1.732702543
2013,6 - 12 years,Female,Icelandic,1.5542857140000002
2014,6 - 12 years,Female,Icelandic,1.552305962
2015,6 - 12 years,Female,Icelandic,1.437125749
2016,6 - 12 years,Female,Icelandic,1.552990556
2017,6 - 12 years,Female,Icelandic,1.43814433
2005,13 - 18 years,,Icelandic,133.80569309999998
2006,13 - 18 years,,Icelandic,129.7644287
2007,13 - 18 years,,Icelandic,124.76056340000001
2008,13 - 18 years,,Icelandic,122.2278057
2009,13 - 18 years,,Icelandic,121.4404762
2010,13 - 18 years,,Icelandic,119.1577061
2011,13 - 18 years,,Icelandic,110.37037040000001
2012,13 - 18 years,,Icelandic,107.1200473
2013,13 - 18 years,,Icelandic,103.0171429
2014,13 - 18 years,,Icelandic,102.0866142
2015,13 - 18 years,,Icelandic,97.75176919
2016,13 - 18 years,,Icelandic,94.96852046
2017,13 - 18 years,,Icelandic,94.44329897
2005,13 - 18 years,Male,Icelandic,68.99752475
2006,13 - 18 years,Male,Icelandic,66.61366313
2007,13 - 18 years,Male,Icelandic,63.65070423
2008,13 - 18 years,Male,Icelandic,62.42881072
2009,13 - 18 years,Male,Icelandic,61.6547619
2010,13 - 18 years,Male,Icelandic,60.57945042
2011,13 - 18 years,Male,Icelandic,56.30824373
2012,13 - 18 years,Male,Icelandic,54.80780603
2013,13 - 18 years,Male,Icelandic,52.10285714
2014,13 - 18 years,Male,Icelandic,51.55230596
2015,13 - 18 years,Male,Icelandic,49.30865542
2016,13 - 18 years,Male,Icelandic,47.99580273
2017,13 - 18 years,Male,Icelandic,47.55670103
2005,13 - 18 years,Female,Icelandic,64.80816832
2006,13 - 18 years,Female,Icelandic,63.15076561
2007,13 - 18 years,Female,Icelandic,61.10985915
2008,13 - 18 years,Female,Icelandic,59.79899497
2009,13 - 18 years,Female,Icelandic,59.78571429
2010,13 - 18 years,Female,Icelandic,58.57825568
2011,13 - 18 years,Female,Icelandic,54.06212664
2012,13 - 18 years,Female,Icelandic,52.31224128
2013,13 - 18 years,Female,Icelandic,50.91428571
2014,13 - 18 years,Female,Icelandic,50.53430821
2015,13 - 18 years,Female,Icelandic,48.44311377
2016,13 - 18 years,Female,Icelandic,46.97271773
2017,13 - 18 years,Female,Icelandic,46.88659794
2005,Total,,Icelandic,140.5074257
2006,Total,,Icelandic,136.07184919999997
2007,Total,,Icelandic,130.6197183
2008,Total,,Icelandic,127.37576770000001
2009,Total,,Icelandic,125.8869048
2010,Total,,Icelandic,123.11230590000001
2011,Total,,Icelandic,114.1696535
2012,Total,,Icelandic,110.9639267
2013,Total,,Icelandic,106.59428570000001
2014,Total,,Icelandic,105.624297
2015,Total,,Icelandic,100.9907458
2016,Total,,Icelandic,98.42602308
2017,Total,,Icelandic,97.89690722
2005,Total,Male,Icelandic,72.43811881
2006,Total,Male,Icelandic,69.98233216
2007,Total,Male,Icelandic,66.74929577
2008,Total,Male,Icelandic,65.05862647
2009,Total,Male,Icelandic,63.89285714
2010,Total,Male,Icelandic,62.58064516
2011,Total,Male,Icelandic,58.13620072
2012,Total,Male,Icelandic,56.77114134
2013,Total,Male,Icelandic,53.98857143
2014,Total,Male,Icelandic,53.40832396
2015,Total,Male,Icelandic,50.99074578
2016,Total,Male,Icelandic,49.80062959
2017,Total,Male,Icelandic,49.46391753
2005,Total,Female,Icelandic,68.06930693
2006,Total,Female,Icelandic,66.08951708
2007,Total,Female,Icelandic,63.87042254
2008,Total,Female,Icelandic,62.31714126
2009,Total,Female,Icelandic,61.99404762
2010,Total,Female,Icelandic,60.53166069
2011,Total,Female,Icelandic,56.03345281
2012,Total,Female,Icelandic,54.19278533
2013,Total,Female,Icelandic,52.60571429
2014,Total,Female,Icelandic,52.215973
2015,Total,Female,Icelandic,50.0
2016,Total,Female,Icelandic,48.62539349
2017,Total,Female,Icelandic,48.43298969
